"Country" "Year" "Child_mortality" "Fertility" "GDPPPP_percapita" "Gini" "Life_exp" "Population" "Population_density" "Population_over_60" "Urban_population"
"286" "Mali" "1965" 40.4 7.05 1030 54.2 38.6 5.57 4.69 4.95 12.6
"287" "Malta" "1965" 3.43 2.59 2970 31.5 69.7 0.322 1040 12 89.8
"288" "Mauritania" "1965" 22 6.8 2000 39.4 52.8 0.986 0.937 4.35 10.1
"289" "Mauritius" "1965" 8.64 5.51 5670 38.3 62.5 0.753 374 5.35 38.8
"290" "Mexico" "1965" 12.6 6.76 7030 52.6 59.9 44.1 21.8 4.68 54.9
"291" "Micronesia, Fed. Sts." "1965" 9.98 6.89 1770 43.8 54.9 0.0522 72.5 5.41 23.5
"292" "Moldova" "1965" 7.46 2.89 6590 20.1 60.8 3.34 106 9.24 27.6
"293" "Mongolia" "1965" 21.3 7.59 1230 34.3 47.7 1.11 0.728 9.27 42.1
"294" "Montenegro" "1965" 6.54 3.15 4420 32.1 72.4 0.534 36.4 9.91 22.6
"295" "Morocco" "1965" 21.2 7.03 2500 46.4 51 14.2 30 4.98 31.9
"296" "Mozambique" "1965" 27 6.87 444 54.8 46 8.04 9.57 4.54 7.86
"297" "Myanmar" "1965" 20.7 6.14 1030 34.9 40.8 24.3 37.2 6.01 21
"298" "Namibia" "1965" 10.3 6.24 7850 49.4 57.4 0.717 0.799 6.61 20
"299" "Nepal" "1965" 29.6 5.97 1200 31.4 47.2 11 76.3 5.21 3.74
"300" "Netherlands" "1965" 1.83 3.04 18600 40.2 73.7 12.2 365 13.9 60.8
"301" "New Zealand" "1965" 2.31 3.05 20500 30.3 71.5 2.63 9.96 12.1 78.9
"302" "Nicaragua" "1965" 18.6 7.01 5300 52.4 57.2 2.07 17.3 3.9 42.7
"303" "Niger" "1965" 31.4 7.53 1760 40.4 42.3 3.91 3.2 2.71 6.81
"304" "Nigeria" "1965" 32 6.34 1750 43.5 48.1 50.1 54.8 5.39 16.6
"305" "North Korea" "1965" 10.1 4.06 1070 43 52.3 12.5 109 5.14 45.1
"306" "North Macedonia" "1965" 9.39 3.55 5800 39.1 61.8 1.59 62.1 7.49 40.4
"307" "Norway" "1965" 1.97 2.93 16700 29.9 73.6 3.72 12.2 17.1 57.6
"308" "Oman" "1965" 29.4 7.27 2450 41.4 48.9 0.625 1.92 5.68 22.3
"309" "Pakistan" "1965" 21.4 6.6 1430 30.6 54.6 50.9 67.3 5.31 23.5
"310" "Palestine" "1965" 16.2 8.06 1690 35.7 62.3 1.19 191 4.86 48.9
"311" "Panama" "1965" 7.69 5.64 5060 57 67.5 1.31 17.7 5.64 44.4
"312" "Papua New Guinea" "1965" 16.8 6.26 1690 46.2 56.1 2.49 4.91 1.87 5.47
"313" "Paraguay" "1965" 7.98 6.36 3250 40.8 70.5 2.17 5.3 5.66 36.2
"314" "Peru" "1965" 19.3 6.88 6600 54.9 54.1 11.7 9.2 6.03 51.9
"315" "Philippines" "1965" 9.12 6.78 3040 44.3 62.5 30.9 109 3.98 31.6
"316" "Poland" "1965" 4.58 2.48 7240 23.4 69.7 31.4 102 11 50.1
"317" "Portugal" "1965" 8.52 3.18 7610 47.8 65.9 8.86 96.7 12.8 36.9
"318" "Qatar" "1965" 8.52 6.99 50900 35.4 66 0.0736 5.6 4.45 87.1
"319" "Romania" "1965" 5.31 2.46 3090 18.4 68.9 19.4 83.1 12 37.7
"320" "Russia" "1965" 3.91 2.09 8890 23.5 70 127 7.72 10.4 58.2
"321" "Rwanda" "1965" 21 8.2 630 39.2 42.9 3.24 138 4.72 2.88
"322" "Samoa" "1965" 11.7 7.52 4000 40.7 61.3 0.127 45.9 4.12 19.3
"323" "Sao Tome and Principe" "1965" 9.75 6.35 2110 32.4 53.2 0.0649 74.7 6.37 21.8
"324" "Saudi Arabia" "1965" 21.1 7.26 10100 38.5 56.9 4.84 2.32 5.37 38.8
"325" "Senegal" "1965" 29.8 7.19 2830 62.4 47.1 3.68 19.6 4.68 26.4
"326" "Serbia" "1965" 8.74 2.47 6080 37.8 65.5 7.84 90 10.9 34.2
"327" "Seychelles" "1965" 9.54 5.84 4240 41.4 63.9 0.0468 105 8.42 33.1
"328" "Sierra Leone" "1965" 36.4 6.34 1430 54.4 44.2 2.51 35.1 6.45 20.4
"329" "Singapore" "1965" 3.5 4.36 4960 40.5 67.4 1.88 2720 4.33 100
"330" "Slovak Republic" "1965" 4.07 2.7 10400 26.2 70.5 4.38 89 12.4 37
"331" "Slovenia" "1965" 2.26 2.3 11200 32.6 67.9 1.63 82.9 13.5 32.5
"332" "Solomon Islands" "1965" 14.5 6.42 1400 46.8 48.3 0.137 5.26 4.95 7.25
"333" "Somalia" "1965" 25.4 7.26 1170 35.8 45.7 3.07 5.21 5.39 20
"334" "South Africa" "1965" 17.4 5.92 9590 68.1 55.2 19.4 15.7 5.49 47.2
"335" "South Korea" "1965" 8.67 5.13 2150 32.6 61.4 28.9 295 5.15 32.4
"336" "South Sudan" "1965" 34.3 6.81 2740 47.5 48.9 3.13 5.57 4.62 8.69
"337" "Spain" "1965" 4.17 2.83 8960 27.5 70.9 32.1 63.9 13.1 61.3
"338" "Sri Lanka" "1965" 8.09 4.96 2410 32.8 64.5 11.1 176 6.26 17.1
"339" "St. Lucia" "1965" 9.97 6.69 2620 42.6 63.3 0.0961 158 6.44 22.7
"340" "St. Vincent and the Grenadines" "1965" 9.38 6.76 3260 40.8 63.4 0.086 235 6.51 28.3
"341" "Sudan" "1965" 16.4 6.81 2160 38 50.5 8.77 5.5 4.31 13.4
"342" "Suriname" "1965" 8.11 6.3 7890 47.2 64.8 0.329 2.06 6.98 47.1
"343" "Sweden" "1965" 1.63 2.41 20200 34.7 74.2 7.75 19 18.2 77.1
"344" "Switzerland" "1965" 2.26 2.53 39400 38.3 72.5 5.81 146 15.5 72.4
"345" "Syria" "1965" 13.4 7.56 6510 37 64.2 5.37 29.2 6.11 40
"346" "Tajikistan" "1965" 18 6.96 5390 30.3 56.8 2.49 17.7 6.92 35.2
"347" "Tanzania" "1965" 23.1 6.8 977 33.3 46.4 11.6 13.1 4.06 6.03
"348" "Thailand" "1965" 12.2 6.13 2350 42.3 62.9 31.8 60.6 4.69 20.2
"349" "Timor-Leste" "1965" 28.4 6.31 1010 36.8 47.8 0.52 34.1 4.47 11.4
"350" "Togo" "1965" 24.8 6.79 1700 59 48.6 1.71 33.5 5.06 14.9
"351" "Tonga" "1965" 6.93 6.97 1820 39.6 65.7 0.0743 120 4.69 19.5
"352" "Trinidad and Tobago" "1965" 5.74 4.43 12200 50 65.1 0.912 181 5.91 38.5
"353" "Tunisia" "1965" 23.5 7.01 3030 67.4 52.9 4.55 28.7 4.72 39.7
"354" "Turkey" "1965" 21.9 6.01 4220 50.3 53.4 31 40.8 6.88 34.2
"355" "Turkmenistan" "1965" 16.9 6.76 7410 34.1 58.1 1.89 4.04 7.24 47.1
"356" "Uganda" "1965" 20.4 7.09 1410 54.3 50.6 7.99 44.2 3.95 5.51
"357" "Ukraine" "1965" 4.42 2.03 8010 36.2 71.7 45.3 78.3 12.4 50.6
"358" "United Arab Emirates" "1965" 14.9 6.84 75200 32.1 62.6 0.15 2.45 2.89 77.7
"359" "United Kingdom" "1965" 2.34 2.76 18100 32.4 71.7 54.2 223 17.8 77.8
"360" "United States" "1965" 2.71 2.93 24600 36.2 70.4 200 20.7 13.4 71.9
"361" "Uruguay" "1965" 5.78 2.84 8610 39.1 68.4 2.69 15.5 12.4 81.3
"362" "Uzbekistan" "1965" 15.6 6.52 4250 45.1 63 10.1 23.8 9.09 35.3
"363" "Vanuatu" "1965" 13.2 6.73 1780 38.7 53.9 0.0743 6.13 4.64 11.3
"364" "Venezuela" "1965" 6.96 6.37 16700 63.4 66 9.69 10.6 4 67
"365" "Vietnam" "1965" 8.48 6.48 1590 36.3 57.4 37.9 120 8.28 16.4
"366" "Yemen" "1965" 38.5 7.71 1850 37.3 38.2 5.73 11.5 5.65 11
"367" "Zambia" "1965" 19 7.29 2290 66.3 51.2 3.57 4.92 4.43 23.4
"368" "Zimbabwe" "1965" 12.9 7.37 2020 40.2 56.6 4.47 11.5 5.05 14.6
"369" "Afghanistan" "1970" 30.3 7.45 1480 31.5 47.1 11.2 16.6 4.46 11.6
"370" "Albania" "1970" 12.6 4.91 3770 26.8 67.8 2.15 84.8 7.06 31.7
"371" "Algeria" "1970" 24 7.64 6620 39.9 56.2 14.5 5.79 5.45 39.5
"372" "Angola" "1970" 27.1 7.6 3280 55 46.6 5.89 4.84 4.56 15
"373" "Antigua and Barbuda" "1970" 5.5 3.68 4680 40 68.3 0.0642 147 7.88 33.8
"374" "Argentina" "1970" 7.18 3.07 14400 36.1 66.1 23.9 8.54 10.2 78.9
"375" "Armenia" "1970" 9.44 3.21 8440 41.3 65.9 2.53 89 8.02 59.9
"376" "Australia" "1970" 2.14 2.81 22100 30.1 71.2 12.8 1.64 12.3 84
"377" "Austria" "1970" 2.91 2.29 19300 46.2 70.2 7.52 90.5 20.1 65.3
"378" "Azerbaijan" "1970" 11.8 5.02 7340 38 59.9 5.18 65.6 6.32 50
"379" "Bahamas" "1970" 3.04 3.53 29100 46.8 65.4 0.169 33.4 5.45 66.8
"380" "Bahrain" "1970" 7.58 6.5 37100 36 64.2 0.213 284 4.1 83.8
"381" "Bangladesh" "1970" 22.3 6.95 1280 21 42.2 64.2 519 5.19 7.59
"382" "Barbados" "1970" 4.79 3.11 11600 48.2 69.2 0.239 561 11.6 37.5
"383" "Belarus" "1970" 2.3 2.25 7610 19.3 72.1 8.91 45.2 12.9 44
"384" "Belgium" "1970" 2.39 2.21 20400 38 71.1 9.63 318 19 93.8
"385" "Belize" "1970" 9.71 6.3 3070 60.8 67.5 0.122 5.3 6.42 51
"386" "Benin" "1970" 26.2 6.75 1810 40.6 48.5 2.91 26.8 7.66 16.7
"387" "Bhutan" "1970" 27.2 6.67 1280 41.3 48.8 0.297 7.79 4.09 6.09
"388" "Bolivia" "1970" 22.9 6.58 4200 54 50.1 4.48 4.23 6.26 39.8
"389" "Bosnia and Herzegovina" "1970" 7.64 2.93 4420 30.8 65.9 3.76 74.5 8.04 27.2
"390" "Botswana" "1970" 12.1 6.65 1390 53.8 56.5 0.628 1.04 5.62 7.83
"391" "Brazil" "1970" 13.3 5.02 5670 57.9 56.9 95.1 11.5 5.11 55.9
"392" "Brunei" "1970" 6.43 5.75 80700 34.4 63 0.13 23.1 4.32 61.7
"393" "Bulgaria" "1970" 3.25 2.14 9450 21.2 71.5 8.51 79.2 14.7 52.3
"394" "Burkina Faso" "1970" 31.6 6.62 726 48.2 44.1 5.62 20.5 5.45 5.75
"395" "Burundi" "1970" 25 7.29 1010 34.3 46 3.48 135 5.28 2.85
"396" "Cambodia" "1970" 22.5 6.47 1200 42.8 44.5 7 37.1 4.91 16
"397" "Cameroon" "1970" 21 6.2 2840 38.4 51.5 6.52 13.8 6.2 20.3
"398" "Canada" "1970" 2.2 2.23 22300 36.6 72.8 21.4 2.36 11.5 75.7
"399" "Cape Verde" "1970" 17.1 6.94 1480 52.7 58.1 0.269 71.3 7.29 19.6
"400" "Central African Republic" "1970" 22.4 5.95 1760 70.8 48.1 1.81 3.32 6.34 27.5
"401" "Chad" "1970" 25.9 6.53 1110 33.6 48.4 3.64 2.91 6.22 11.6
"402" "Chile" "1970" 7.99 4.02 8990 52.6 62 9.78 13 6.19 75.2
"403" "China" "1970" 11.3 5.75 1310 28.5 60.9 828 85.7 6.15 17.4
"404" "Colombia" "1970" 9.79 5.55 5600 53.4 65.9 21.5 18.6 4.77 56.6
"405" "Comoros" "1970" 22.7 7.06 1830 49.8 51.4 0.23 130 6 19.4
"406" "Congo, Dem. Rep." "1970" 24.6 6.21 2670 42.4 49.6 20 8.89 4.64 24.6
"407" "Congo, Rep." "1970" 14.1 6.29 2920 43.5 47.2 1.33 4.09 5.66 39.1
"408" "Costa Rica" "1970" 7.63 4.61 7260 47.7 67 1.85 36.3 5.27 38.8
"409" "Cote d'Ivoire" "1970" 24.4 7.91 3350 50.8 50.9 5.1 17.2 4.11 28.2
"410" "Croatia" "1970" 3.5 2.01 10600 22.1 68.7 4.42 80.4 15.1 40.2
"411" "Cuba" "1970" 3.8 4.03 3460 39 70.8 8.71 83.1 8.1 60.3
"412" "Cyprus" "1970" 3.5 2.61 8670 29.9 67.6 0.614 69.4 12.3 40.8
"413" "Czech Republic" "1970" 2.82 2.06 11600 20.2 69.7 9.82 127 18.2 64.4
"414" "Denmark" "1970" 1.66 1.95 24600 28.8 73.6 4.93 116 17.7 79.7
"415" "Djibouti" "1970" 20.1 6.8 5550 36.2 58.4 0.16 6.23 4.28 61.8
"416" "Dominican Republic" "1970" 12.4 6.18 3230 44.4 64.9 4.5 92.6 4.11 40.3
"417" "Ecuador" "1970" 13.7 6.14 5530 41 61.4 6.07 24.9 5.87 39.3
"418" "Egypt" "1970" 24.4 6.23 2560 26.3 51.3 34.5 34.9 6.4 41.5
"419" "El Salvador" "1970" 15 6.17 4520 43.7 57.8 3.67 175 4.98 39.4
"420" "Equatorial Guinea" "1970" 23.7 5.81 2250 41.5 45.2 0.304 11.3 7.14 27
"421" "Estonia" "1970" 2.72 2.1 10900 44.2 70.5 1.36 31.3 16.9 64.9
"422" "Eswatini" "1970" 17.4 6.88 2070 61.3 51.5 0.431 25.5 4.58 9.71
"423" "Ethiopia" "1970" 24.4 6.98 1000 52.9 43 28.4 28.3 4.71 8.59
"424" "Fiji" "1970" 5.75 4.54 5650 45.2 65.2 0.521 28.9 3.81 34.8
"425" "Finland" "1970" 1.61 1.83 18100 30 70.7 4.61 15.2 14.2 63.7
"426" "France" "1970" 1.82 2.49 21400 43.3 72.6 50.8 91.6 18.2 71.1
"427" "Gabon" "1970" 17.3 5.25 12000 64.3 53.2 0.589 2.32 11.1 32
"428" "Gambia" "1970" 29.7 6.09 1870 41.5 56.6 0.464 52.2 4.67 19.5
"429" "Georgia" "1970" 7.94 2.71 9070 28.8 65.4 4.71 69.1 11.3 48
"430" "Germany" "1970" 2.57 2.04 21700 29.7 70.6 78.6 225 19.8 72.3
"431" "Ghana" "1970" 20.2 6.95 2830 40.6 54.5 8.74 38.9 4.74 29
"432" "Greece" "1970" 3.1 2.57 12700 43.1 73.8 8.66 65.3 16.3 64.2
"433" "Grenada" "1970" 6.04 4.6 2700 41.1 67 0.0945 291 8.6 32.2
"434" "Guatemala" "1970" 17.1 6.64 5280 56.5 49.9 5.62 50.9 4.12 35.5
"435" "Guinea" "1970" 32.4 6.23 1260 52.2 43.9 4.15 17.2 6.38 16
"436" "Guinea-Bissau" "1970" 29.2 6.04 1810 41 39 0.705 21 6.46 15.1
"437" "Guyana" "1970" 7.37 5.38 4500 44.1 61.7 0.705 3.58 5.4 29.4
"438" "Haiti" "1970" 24.1 5.76 2370 60.6 48 4.68 170 6.3 19.8
"439" "Honduras" "1970" 14.6 7.27 2930 66.8 57.7 2.72 25.5 4.85 28.9
"440" "Hong Kong, China" "1970" 2.55 3.28 10300 43.3 71.9 3.85 3600 7.1 87.7
"441" "Hungary" "1970" 3.88 2.01 10800 21.4 69.2 10.4 114 17.2 60.1
"442" "Iceland" "1970" 1.6 3.03 17400 25.8 73.9 0.204 2.04 12.3 84.9
"443" "India" "1970" 21.4 5.59 1470 35.9 49.3 555 188 5.99 19.8
"444" "Indonesia" "1970" 16.6 5.47 2170 34.2 53.7 115 60.3 5.29 17.1
"445" "Iran" "1970" 20.5 6.44 8590 50.8 54.5 28.5 17.5 5.68 41.2
"446" "Iraq" "1970" 11.3 7.36 6440 33.2 62.8 9.92 22.6 7.07 56.2
"447" "Ireland" "1970" 2.22 3.81 12300 35.7 71.2 2.91 43 15.7 51.3
"448" "Israel" "1970" 3.01 3.82 14900 35.6 71.7 2.81 134 11 84.2
"449" "Italy" "1970" 3.36 2.44 19300 40.1 71.8 53.5 180 16.4 64.3
"450" "Jamaica" "1970" 5.7 5.48 7670 36.6 68.9 1.88 172 8.86 41.3
"451" "Japan" "1970" 1.74 2.11 17700 31.4 72.7 105 280 10.8 71.9
"452" "Jordan" "1970" 8.95 7.93 4630 36.9 63 1.72 17.5 4.67 56
"453" "Kazakhstan" "1970" 8.62 3.61 13100 46.4 64.8 13 4.54 8.14 50.2
"454" "Kenya" "1970" 15.2 8.08 2240 61.8 58.1 11.3 19.8 3.45 10.3
"455" "Kiribati" "1970" 13.9 5.46 4390 35.7 51.7 0.0511 79.1 6.37 24.1
"456" "Kuwait" "1970" 6.99 7.17 151000 33.2 70.5 0.744 45.1 2.73 85.7
"457" "Kyrgyz Republic" "1970" 12 5.18 5860 45.6 60.4 2.97 15.7 7.71 37.5
"458" "Lao" "1970" 23.5 5.97 1040 34.8 42.4 2.69 11.6 5.17 9.63
"459" "Latvia" "1970" 2.71 1.93 12700 25.2 70.5 2.38 38.5 17.4 60.7
"460" "Lebanon" "1970" 6.12 4.95 8240 45.3 67.6 2.3 233 7.53 59.5
"461" "Lesotho" "1970" 17.8 5.81 781 55.8 54.6 1.03 33.7 6.04 8.61
"462" "Liberia" "1970" 28.7 6.7 2560 36.8 45.3 1.4 15.2 4.89 26
"463" "Libya" "1970" 13.6 8.13 7800 39.1 64.6 2.13 1.14 5.35 49.7
"464" "Lithuania" "1970" 2.31 2.31 13300 28.1 71.3 3.14 51.3 15.1 49.6
"465" "Luxembourg" "1970" 2.23 1.96 29500 26.8 70.2 0.34 131 18.4 74.4
"466" "Madagascar" "1970" 19.1 7.27 2470 45.7 48.4 6.58 11.4 5.84 14.1
"467" "Malawi" "1970" 34.2 7.3 816 49.8 42 4.7 48.9 4.42 6.05
"468" "Malaysia" "1970" 5.33 5.01 3960 51.6 67.3 10.8 31.4 4.62 33.5
"469" "Maldives" "1970" 25.8 7.23 3320 41.4 47.5 0.116 411 3.8 11.9
"470" "Mali" "1970" 37.2 7.13 1090 52.6 40.2 5.95 5.04 5.34 14.3
"471" "Malta" "1970" 2.78 1.98 4590 30.8 70.9 0.321 1000 13.4 89.7
"472" "Mauritania" "1970" 19.3 6.78 2750 39.4 55 1.15 1.09 4.54 14.6
"473" "Mauritius" "1970" 8.33 3.95 4690 38.3 63.7 0.826 409 5.68 42.6
"474" "Mexico" "1970" 10.8 6.83 8860 53.1 61.4 51.5 25.7 4.76 59
"475" "Micronesia, Fed. Sts." "1970" 8.35 6.94 1940 43.6 56.6 0.0614 84.3 5.22 24.8
"476" "Moldova" "1970" 6.55 2.58 9220 19.1 62.9 3.6 113 10.4 32.1
"477" "Mongolia" "1970" 19.9 7.57 1430 34.1 50.5 1.28 0.831 8.67 45.1
"478" "Montenegro" "1970" 4.4 2.74 6270 31.5 73.7 0.52 38.4 10.5 26.9
"479" "Morocco" "1970" 18.7 6.65 2790 44.9 54.3 16 34.2 4.79 34.5
"480" "Mozambique" "1970" 27.2 6.84 483 53.6 47.6 9.02 10.7 4.57 8.99
"481" "Myanmar" "1970" 17.4 5.96 946 37.7 43.1 27.3 41.8 6.17 22.8
"482" "Namibia" "1970" 9.8 6.46 7220 48.9 57.9 0.817 0.916 6.31 22.3
"483" "Nepal" "1970" 26.5 5.92 1250 31.8 49.3 12.1 84.9 5.37 3.96
"484" "Netherlands" "1970" 1.58 2.57 23200 36.2 73.7 13 387 14.5 61.7
"485" "New Zealand" "1970" 2.08 2.95 21500 29.4 71.6 2.82 10.7 12.5 81.1
"486" "Nicaragua" "1970" 17.3 6.89 5700 52.5 58.1 2.41 20.3 3.91 47
"487" "Niger" "1970" 32.7 7.57 1610 39.6 43 4.51 3.69 2.97 8.79
"488" "Nigeria" "1970" 28.5 6.47 2030 38.6 49 56 61 5.28 17.8
"489" "North Korea" "1970" 7.04 4.32 1620 42.2 57.1 14.4 125 4.99 54.2
"490" "North Macedonia" "1970" 7.91 3.16 7780 38.7 65.3 1.72 66.5 8.32 47.1
"491" "Norway" "1970" 1.62 2.5 20000 28.8 74.3 3.88 12.7 18.1 65.4
"492" "Oman" "1970" 22.9 7.31 10600 38.6 55.5 0.724 2.17 5.66 29.7
"493" "Pakistan" "1970" 19.1 6.6 1760 29.2 57.1 58.1 76.9 5.29 24.8
"494" "Palestine" "1970" 13.3 7.86 1820 35.5 57.8 1.13 186 4.2 54.3
"495" "Panama" "1970" 6.53 5.17 6550 57.1 68.1 1.52 20.4 5.76 47.6
"496" "Papua New Guinea" "1970" 14.3 6.16 2220 46.2 59 2.78 5.5 1.79 9.8
"497" "Paraguay" "1970" 7.79 5.74 3720 40.8 70.8 2.47 5.96 5.76 37.1
"498" "Peru" "1970" 16.5 6.38 7000 51.6 48.6 13.5 10.6 6.04 57.4
"499" "Philippines" "1970" 8.37 6.26 3310 43.2 62.7 35.8 125 4.31 33
"500" "Poland" "1970" 3.61 2.25 8740 24.7 70.2 32.6 106 12.8 52.1
"501" "Portugal" "1970" 6.82 2.99 10700 45.9 67.4 8.65 94.4 14.3 38.8
"502" "Qatar" "1970" 6.55 6.91 153000 33.2 67 0.11 10.2 3.78 88.4
"503" "Romania" "1970" 5.6 2.82 5110 17.5 68.3 20.5 86.6 13.5 40.3
"504" "Russia" "1970" 3.82 2 12500 21.4 69.2 130 7.94 12 62.5
"505" "Rwanda" "1970" 22.1 8.23 745 37.8 43.6 3.76 161 4.49 3.19
"506" "Samoa" "1970" 10.2 7.19 4220 40.7 62.4 0.143 50.4 4.08 20.4
"507" "Sao Tome and Principe" "1970" 8.65 6.47 2610 32.1 57 0.0746 80.8 6.93 29.5
"508" "Saudi Arabia" "1970" 18.1 7.28 14100 37.9 59.8 5.84 2.84 5.01 48.7
"509" "Senegal" "1970" 28.8 7.29 2720 57.3 47.9 4.26 22.7 4.63 30
"510" "Serbia" "1970" 6.57 2.39 7890 36.7 66.2 8.12 93.7 12.9 39.7
"511" "Seychelles" "1970" 7.53 5.76 4840 41.4 65.7 0.0524 119 8.73 39.1
"512" "Sierra Leone" "1970" 33.4 6.5 1660 54.9 45.7 2.74 38.7 6.53 24
"513" "Singapore" "1970" 2.71 3.19 8810 47.7 69 2.07 3020 5.68 100
"514" "Slovak Republic" "1970" 3.54 2.5 12200 24.5 69.9 4.54 92.2 13.8 41.1
"515" "Slovenia" "1970" 2.2 2.23 15100 33 68.6 1.67 86.5 14.8 37
"516" "Solomon Islands" "1970" 10.5 6.91 1440 46.8 50.4 0.16 6 5.2 8.92
"517" "Somalia" "1970" 23.7 7.18 1230 35.8 46.7 3.44 5.93 5.42 22.7
"518" "South Africa" "1970" 15.1 5.67 11000 68.5 56.7 22.1 18.3 5.68 47.8
"519" "South Korea" "1970" 6.12 4.34 3210 34.2 63.6 32.2 329 5.6 40.7
"520" "South Sudan" "1970" 32.8 6.89 2550 47.6 50.1 3.49 5.92 4.21 8.63
"521" "Spain" "1970" 2.97 2.87 11900 30.5 72 33.9 67.3 14.1 66
"522" "Sri Lanka" "1970" 7.18 4.34 2650 30.7 66.1 12.5 198 6.34 17.6
"523" "St. Lucia" "1970" 7.63 6.1 3360 42.6 65.4 0.104 167 6.8 23.9
"524" "St. Vincent and the Grenadines" "1970" 6.46 6.01 3320 40.7 64.8 0.0905 252 7.17 30.7
"525" "Sudan" "1970" 15.6 6.89 2250 36.8 51.6 10.3 6.41 4.12 16.5
"526" "Suriname" "1970" 7.51 5.65 9090 48.8 65.8 0.368 2.44 6.13 45.9
"527" "Sweden" "1970" 1.34 1.92 23900 30 74.8 8.05 19.7 19.6 81
"528" "Switzerland" "1970" 1.84 2.12 45400 38.3 73.3 6.15 155 16.4 73.8
"529" "Syria" "1970" 10.3 7.57 6560 36.7 66.5 6.35 34.4 5.41 43.3
"530" "Tajikistan" "1970" 16.3 7 6300 29.4 60.4 2.93 20.9 6.55 36.9
"531" "Tanzania" "1970" 21.5 6.77 1180 27.9 49.4 13.5 15.4 4.2 7.85
"532" "Thailand" "1970" 9.86 5.6 2960 43 64.2 36.9 70.1 4.74 20.9
"533" "Timor-Leste" "1970" 24 5.92 1200 36.8 50.5 0.572 37.3 4.41 12.9
"534" "Togo" "1970" 22.4 7.08 2030 59 51.4 2.12 40.4 4.87 21.3
"535" "Tonga" "1970" 4.93 5.94 1900 39.5 66.5 0.0843 133 4.67 20.2
"536" "Trinidad and Tobago" "1970" 5.15 3.55 13300 51.1 65.3 0.945 193 6.7 43
"537" "Tunisia" "1970" 18 6.71 3320 64.8 56.5 5.06 32.5 4.94 43.5
"538" "Turkey" "1970" 18.8 5.62 5560 48.9 57.1 34.9 46.2 6.88 38.2
"539" "Turkmenistan" "1970" 15.4 6.4 8650 33.1 60.4 2.2 4.68 6.95 47.8
"540" "Uganda" "1970" 19.1 7.12 1520 54.3 52 9.41 51.6 4.27 6.66
"541" "Ukraine" "1970" 3.49 2.05 9960 35.6 70.9 47.1 81.6 14.2 54.8
"542" "United Arab Emirates" "1970" 9.78 6.66 95700 31.7 64 0.235 4.2 2.49 79.8
"543" "United Kingdom" "1970" 2.1 2.29 20100 32.9 72.1 55.6 229 18.8 77.1
"544" "United States" "1970" 2.33 2.46 27300 35.6 70.9 210 21.9 14 73.6
"545" "Uruguay" "1970" 5.41 2.9 9100 37.9 68.5 2.81 16.1 13 82.4
"546" "Uzbekistan" "1970" 14.3 6.33 5130 42.9 64.8 12.1 28.2 7.98 36.7
"547" "Vanuatu" "1970" 10.9 6.27 1890 38.6 56.7 0.0854 7.14 3.98 12.3
"548" "Venezuela" "1970" 6.23 5.4 17800 63.4 66.5 11.4 12.4 4.27 71.9
"549" "Vietnam" "1970" 8.16 6.47 1310 36 56 43.4 134 8.19 18.3
"550" "Yemen" "1970" 32.7 7.81 2280 37.2 41.9 6.19 13 5.42 13.3
"551" "Zambia" "1970" 18.1 7.37 2300 66.6 53.5 4.18 5.76 4.47 30.4
"552" "Zimbabwe" "1970" 11.5 7.42 2900 40.1 58 5.29 13.4 4.83 17.4
"553" "Afghanistan" "1975" 27.5 7.45 1250 33 47.5 12.7 18.7 4.37 13.6
"554" "Albania" "1975" 10.4 4.24 4330 26.8 70.2 2.41 96.7 6.99 32.7
"555" "Algeria" "1975" 20.4 7.43 7340 40 56.9 16.6 6.6 4.9 40.3
"556" "Angola" "1975" 25.2 7.62 1990 54.6 47.5 7.02 5.64 4.15 19.1
"557" "Antigua and Barbuda" "1975" 5.02 2.7 6200 39.5 70.2 0.0627 146 9.88 34.2
"558" "Argentina" "1975" 6.32 3.32 16500 35.9 68 25.9 9.27 10.9 81
"559" "Armenia" "1975" 8.72 2.75 8200 41.4 68.2 2.83 99.5 8.31 63.6
"560" "Australia" "1975" 1.73 2.18 24100 29.7 72.5 13.8 1.81 12.9 84.8
"561" "Austria" "1975" 2.3 1.83 23700 42.9 71.4 7.64 91.8 20.3 65.3
"562" "Azerbaijan" "1975" 11.3 4.18 7780 36.8 64.3 5.67 71.7 6.14 51.9
"563" "Bahamas" "1975" 3.15 3.23 20100 44.4 68.2 0.189 37.7 5.94 70
"564" "Bahrain" "1975" 4.66 5.56 38300 35.9 66.8 0.267 364 3.81 85
"565" "Bangladesh" "1975" 21.7 6.82 1130 22.5 50.6 70.1 574 5.2 9.84
"566" "Barbados" "1975" 3.64 2.39 11000 48.2 70.3 0.246 575 12.9 38.9
"567" "Belarus" "1975" 2.21 2.17 8390 19.3 71.9 9.25 46.8 13.9 50.6
"568" "Belgium" "1975" 1.86 1.84 24400 34.4 72.2 9.77 322 19.3 94.5
"569" "Belize" "1975" 7.86 6.28 3450 60.8 69.6 0.133 5.73 6.45 50.2
"570" "Benin" "1975" 23.9 6.93 1860 41.8 50.8 3.27 30 7.05 21.9
"571" "Bhutan" "1975" 23.2 6.69 1180 41.3 51 0.348 9.18 4.2 7.88
"572" "Bolivia" "1975" 19.7 6.18 4960 50.7 53.7 5 4.73 6.1 41.3
